CATEGORY 3.1,,,,,,,,,,,,,,,,,,,,,
Scopus search query:,,,"TITLE-ABS-KEY ( ( ( ""PointNet"" OR ""PointNet++"" OR ""PointCNN"" OR ""DGCNN"" OR ""KPConv"" OR ""PointConv"" OR ""Point transformer"" OR ""ShellNet"" OR ""PointBERT"" OR ""CurverNet"" OR ""Self organizing network"" ) AND ( ""3D data"" OR ""pointcloud"" OR ""point cloud"" ) AND ( ""construction industry"" OR ""building"" OR ""AEC"" OR ""BIM"" ) ) ) AND PUBYEAR > 2007 AND PUBYEAR < 2025 AND ( LIMIT-TO ( DOCTYPE,""ar"" ) OR LIMIT-TO ( DOCTYPE,""cp"" ) )  AND ( LIMIT-TO ( LANGUAGE,""English"" ) ) ",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Document Type,Publication Stage,Open Access,Source,EID
Hamid N.; Wibisono A.; Anwar Ma'Sum M.; Gamal A.; Ardhianto R.; Arymurthy A.M.; Jatmiko W.,"Hamid, Nur (52663351300); Wibisono, Ari (55625531300); Anwar Ma'Sum, M. (57213817389); Gamal, Ahmad (57200131887); Ardhianto, Roni (57200085262); Arymurthy, Aniati Murni (36815724000); Jatmiko, Wisnu (8568432600)",52663351300; 55625531300; 57213817389; 57200131887; 57200085262; 36815724000; 8568432600,3D Edge Convolution in Deep Neural Network Implementation for Land Cover Semantic Segmentation of Airborne LiDAR Data,2019,"2019 4th Asia-Pacific Conference on Intelligent Robot Systems, ACIRS 2019",,,8935980,216,220,4,1,10.1109/ACIRS.2019.8935980,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078064012&doi=10.1109%2fACIRS.2019.8935980&partnerID=40&md5=5fc7b5538adcf1089d57d7388b5d09df,"3-dimensional data contains more informative visualization than a 2-dimensional one. LiDAR sensor produces 3D data or point cloud data. There have been many implementations of LiDAR data such as for building detection, urban area modeling, and land cover analysis. This study will analyze land cover because of its substantial benefits. The purpose of this study is to produce semantic segmentation of land cover from LiDAR data by implementing EdgeConv Algorithm from Dynamic Graph Convolutional Neural Network (DGCNN). The dataset in this study is LiDAR data of Kupang, one of the areas in Indonesia. This work achieves the average accuracy of 67.76% for DGCNN better than the state-of-the-art method PointNet (previous method) with 64.97% by implementing the point cloud dataset from LiDAR data of Kupang. This is because the edge convolution could recognize the global shape structure and local neighborhood information so that it could improve the segmentation performance result. © 2019 IEEE.",3-dimensional edge detection; 3D CNN; edge convolution; land cover; lidar; semantic segmentation,Conference paper,Final,,Scopus,2-s2.0-85078064012
De Gélis I.; Lefèvre S.; Corpetti T.,"De Gélis, I. (57218881194); Lefèvre, S. (57203070803); Corpetti, T. (14018992700)",57218881194; 57203070803; 14018992700,3D urban change detection with point cloud siamese networks,2021,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives",43,B3-2021,,879,886,7,6,10.5194/isprs-archives-XLIII-B3-2021-879-2021,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115854172&doi=10.5194%2fisprs-archives-XLIII-B3-2021-879-2021&partnerID=40&md5=ac1d86166b61c3c6fd58061c787dc443,"As the majority of the earth population is living in urban environments, cities are continuously evolving and efficient monitoring tools are needed to retrieve and classify their evolution. In this context, analysing changes between two dates is a crucial point. In urban environments, most changes occur along the vertical axis (with new construction or demolition of buildings) and the use of 3D data is therefore mandatory. Among them, LiDAR constitutes a valuable source of information. However, With the difficulty of processing sparse and unordered 3D point clouds, most of existing methods start by rasterizing point clouds (for example to Digital Surface Models) before using more conventional image processing tools. This implies a significant loss of information. Among existing studies dealing directly with point clouds, and to the best of our knowledge, no deep neural network-based method has been explored yet. Thus, in order to fill this gap and to test the ability of deep methods to deal with change detection and characterization of 3D point clouds, we propose a Siamese network with Kernel Point Convolution inspired by Siamese architectures that have already shown their performances on change detection in 2D images and on KPConv network which achieves high-quality results for semantic segmentation of raw 3D point clouds. We show quantitatively and qualitatively that our method outperforms by more than 25% (in terms of average Intersection over Union for classes of change) existing machine learning methods based on hand-crafted features. © 2021 International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives. All rights reserved.",3D Change Detection; Deep Learning; Kernel Point Convolution; Point Clouds; Siamese Network; Urban Monitoring,Conference paper,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85115854172
Lowphansirikul C.; Kim K.-S.; Vinayaraj P.; Tuarob S.,"Lowphansirikul, Chakri (57208550806); Kim, Kvoung-Sook (57184508400); Vinayaraj, Poliyapram (54380886600); Tuarob, Suppawong (43661605700)",57208550806; 57184508400; 54380886600; 43661605700,3D Semantic Segmentation of Large-Scale Point-Clouds in Urban Areas Using Deep Learning,2019,"2019 11th International Conference on Knowledge and Smart Technology, KST 2019",,,8687813,238,243,5,11,10.1109/KST.2019.8687813,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065104515&doi=10.1109%2fKST.2019.8687813&partnerID=40&md5=e7e1ec3b5f3c62972a1e58b2b4a76682,"Point cloud is a set of points in 3D space, typically produced by a 3D scanner to capture the 3D representation of a scene. Semantic segmentation of 3D point cloud data where each point is assigned with a semantic class such as building, road, water and so on, has recently gained tremendous attention from data mining researchers and industrial practitioners. Accurate 3D-segmentation results can be used for constructing 3D scene for robotic navigation and assessing the city expansion. Dealing with point cloud data poses a huge challenge of irregular format as points are distributed irregularly unlike 2D pixel of an image or 3D voxel of a 3D model. A number of deep learning architectures have been proposed to model 3D point cloud to perform semantic segmentation. In this paper, we present a new case study of applying three novel deep learning architectures, PointNet, PointCNN and SPGraph, to an outdoor aerial survey point cloud dataset, whose features include intensity and spectral information (RGB). We then compare the results of 3D semantic segmentation from such networks in term of overall accuracy. The result shows that PointNet, PointCNN, and SPGraph achieve 83%, 72.7%, and 83.4% overall accuracy of semantic segmentation, respectively. © 2019 IEEE.",3D-Segmentation; Deep Learning; Point Cloud,Conference paper,Final,,Scopus,2-s2.0-85065104515
Chen H.; Chen W.; Wu R.; Huang Y.,"Chen, Hui (57189893488); Chen, Wanlou (57299171200); Wu, Renjie (57328702800); Huang, Yunfeng (57220060340)",57189893488; 57299171200; 57328702800; 57220060340,Plane segmentation for a building roof combining deep learning and the RANSAC method from a 3D point cloud,2021,Journal of Electronic Imaging,30,5,53022,,,,5,10.1117/1.JEI.30.5.053022,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118800134&doi=10.1117%2f1.JEI.30.5.053022&partnerID=40&md5=02cad2ea594d66a04b1d266bdb032e10,"The segmentation of a point cloud on the roof plane is of great significance to the reconstruction of building models. However, the traditional segmentation methods segment the aerial point cloud of the roof, which cannot fully express the geometric structure of the roof, whereas the deep learning-based methods have problems such as too much manual annotation and training time. In this work, a plane segmentation method for a building roof based on the PointNet network combined with the random sample consensus (RANSAC) algorithm is proposed to directly segment the whole point cloud of the building, but it is not limited to the point cloud of the roof. With the proposed framework, the roof part is extracted from the building by an improved PointNet network, and then the roof semantic point cloud is segmented by the RANSAC algorithm to complete the roof extraction. Based on the experimental results gained from multiple building point clouds, it is shown that the proposed method achieves the segmentation of a roof on most multi-plane roof building point clouds and that it has strong practical value. © 2021 SPIE and IS&T.",3D point cloud; building roof; deep learning; plane segmentation,Article,Final,,Scopus,2-s2.0-85118800134
Chowdhury A.; Pattnaik N.; Ray A.; Chakravarty S.; Chakravarty T.; Pal A.,"Chowdhury, Arijit (56077144700); Pattnaik, Naibedya (58093930500); Ray, Arindam (57640734800); Chakravarty, Soumya (57616857500); Chakravarty, Tapas (55894496700); Pal, Arpan (57203638167)",56077144700; 58093930500; 57640734800; 57616857500; 55894496700; 57203638167,Unobtrusive People Identification and Tracking Using Radar Point Clouds,2023,IEEE Sensors Letters,7,12,6009104,1,4,3,0,10.1109/LSENS.2023.3328794,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177188832&doi=10.1109%2fLSENS.2023.3328794&partnerID=40&md5=f4dd5707b9c5d93743463606a913f515,"Identification of people in closed spaces is an indispensable requirement in modern smart home spaces. Existing recognition methods that utilize vision sensors, such as cameras, cannot be used for this purpose because of their privacy-invasive sensing characteristics. In this letter, we propose a method for unobtrusive identification and tracking of people by capturing their unique gait pattern in a closed space using point clouds generated from commercially available frequency modulated continuous wave radars. We primarily focus on handling the nonlinearity due to the variation of the subject's distance from the radar by augmenting the point clouds with novel height surface maps that are generated individually for every person. We build a two-level feature generation system on top of these point clouds to uniquely identify them. We also attempt identification using a blend of these height surface maps and existing point cloud processing architectures, such as PointNet and PointNet++. The average precision and recall for all seven subjects tested were $79.28\%(\pm 4.9)$ and $80.23\%(\pm 9.8)$. Finally, the proposed method augments the height surface maps with the PointNet architecture and utilizes majority voting scheme for people identification. It provides an accuracy above 90%, which indicates the efficiency of our implemented solution.  © 2017 IEEE.",frequency modulated continuous wave (FMCW) radar; gait; person identification; point clouds; PointNet; PointNet++; Sensor applications,Article,Final,,Scopus,2-s2.0-85177188832
Pierdicca R.; Paolanti M.; Matrone F.; Martini M.; Morbidoni C.; Malinverni E.S.; Frontoni E.; Lingua A.M.,"Pierdicca, Roberto (56460209100); Paolanti, Marina (57188734162); Matrone, Francesca (57195330111); Martini, Massimo (57209009649); Morbidoni, Christian (15136812700); Malinverni, Eva Savina (14066631000); Frontoni, Emanuele (9737451300); Lingua, Andrea Maria (6507402873)",56460209100; 57188734162; 57195330111; 57209009649; 15136812700; 14066631000; 9737451300; 6507402873,Point cloud semantic segmentation using a deep learning framework for cultural heritage,2020,Remote Sensing,12,6,1005,,,,117,10.3390/rs12061005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082303972&doi=10.3390%2frs12061005&partnerID=40&md5=9cef554c65f53e805b642276afab9f1e,"In the Digital Cultural Heritage (DCH) domain, the semantic segmentation of 3D Point Clouds with Deep Learning (DL) techniques can help to recognize historical architectural elements, at an adequate level of detail, and thus speed up the process of modeling of historical buildings for developing BIM models from survey data, referred to as HBIM (Historical Building Information Modeling). In this paper, we propose a DL framework for Point Cloud segmentation, which employs an improved DGCNN (Dynamic Graph Convolutional Neural Network) by adding meaningful features such as normal and colour. The approach has been applied to a newly collected DCH Dataset which is publicy available: ArCH (Architectural Cultural Heritage) Dataset. This dataset comprises 11 labeled points clouds, derived from the union of several single scans or from the integration of the latter with photogrammetric surveys. The involved scenes are both indoor and outdoor, with churches, chapels, cloisters, porticoes and loggias covered by a variety of vaults and beared by many different types of columns. They belong to different historical periods and different styles, in order to make the dataset the least possible uniform and homogeneous (in the repetition of the architectural elements) and the results as general as possible. The experiments yield high accuracy, demonstrating the effectiveness and suitability of the proposed approach. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.",Classification; Deep learning; Digital cultural heritage; Point clouds; Semantic segmentation,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85082303972
Wang B.; Wang Q.; Cheng J.C.P.; Yin C.,"Wang, Boyu (57221940953); Wang, Qian (56430161500); Cheng, Jack C.P. (57204665849); Yin, Chao (57221927168)",57221940953; 56430161500; 57204665849; 57221927168,Object verification based on deep learning point feature comparison for scan-to-BIM,2022,Automation in Construction,142,,104515,,,,9,10.1016/j.autcon.2022.104515,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135386047&doi=10.1016%2fj.autcon.2022.104515&partnerID=40&md5=62783e0ddb95684b80cd73e8043b9105,"Building information models (BIMs) have been widely adopted in current construction projects to enhance the efficiency of facility maintenance operations. As-built BIMs can reflect the actual conditions of facilities and thus as-built BIM reconstruction has shown great significance in digital twin generation, building health monitoring, facility management and urban renewal. Laser scanners are capable to capture dense 3D measurements of the environment in a fast and highly accurate way. Therefore, laser scanning data have been widely used for as-built BIM generation. Although research efforts have been made on how to automatically achieve “Scan-to-BIM”, there are still gaps from applying current solutions to real scenarios. One of the challenges is that some irrelevant point clusters may be wrongly recognized as the desired object in the detection stage. This study presents a novel object verification approach based on deep learning point feature comparison to improve the accuracy of automated BIM reconstruction process. Firstly, a KPConv-based deep neural network is developed and trained to perform 3D point feature computation. Then through comparing point features calculated for extracted point clusters and as-designed BIM generated point clouds, point feature distance maps are generated. Afterwards, to automatically analyze the generated feature distance maps, a dataset including simulated positive and negative instances is created based on ModelNet40. And a tiny neural network is established and trained on the prepared dataset to acquire ability of distinguishment. To validate the feasibility of the proposed technique, experiments were conducted on both artificial point clouds and real scan data collected in one MEP room in a water treatment work in Hong Kong. It is demonstrated that the proposed technique can successfully filter out all the false positives in the Scan-to-BIM process, improving reconstruction accuracy significantly. © 2022 Elsevier B.V.",As-built modeling; Building information model (BIM); Deep learning; LiDAR point clouds; Object verification,Article,Final,,Scopus,2-s2.0-85135386047
Widyaningrum E.; Fajari M.K.; Lindenbergh R.C.; Hahn M.,"Widyaningrum, E. (57191205020); Fajari, M.K. (57191204708); Lindenbergh, R.C. (7801611878); Hahn, M. (23492048300)",57191205020; 57191204708; 7801611878; 23492048300,TAILORED FEATURES for SEMANTIC SEGMENTATION with A DGCNN USING FREE TRAINING SAMPLES of A COLORED AIRBORNE POINT CLOUD,2020,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives",43,B2,,339,346,7,3,10.5194/isprs-archives-XLIII-B2-2020-339-2020,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091113510&doi=10.5194%2fisprs-archives-XLIII-B2-2020-339-2020&partnerID=40&md5=6d2047cc8efc5a6fc35b5d840458005f,"Automation of 3D LiDAR point cloud processing is expected to increase the production rate of many applications including automatic map generation. Fast development on high-end hardware has boosted the expansion of deep learning research for 3D classification and segmentation. However, deep learning requires large amount of high quality training samples. The generation of training samples for accurate classification results, especially for airborne point cloud data, is still problematic. Moreover, which customized features should be used best for segmenting airborne point cloud data is still unclear. This paper proposes semi-automatic point cloud labelling and examines the potential of combining different tailor-made features for pointwise semantic segmentation of an airborne point cloud. We implement a Dynamic Graph CNN (DGCNN) approach to classify airborne point cloud data into four land cover classes: bare-land, trees, buildings and roads. The DGCNN architecture is chosen as this network relates two approaches, PointNet and graph CNNs, to exploit the geometric relationships between points. For experiments, we train an airborne point cloud and co-aligned orthophoto of the Surabaya city area of Indonesia to DGCNN using three different tailor-made feature combinations: points with RGB (Red, Green, Blue) color, points with original LiDAR features (Intensity, Return number, Number of returns) so-called IRN, and points with two spectral colors and Intensity (Red, Green, Intensity) so-called RGI. The overall accuracy of the testing area indicates that using RGB information gives the best segmentation results of 81.05% while IRN and RGI gives accuracy values of 76.13%, and 79.81%, respectively. © 2020 International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives.",aerial photos; Airborne point cloud; DGCNN; feature combinations; semantic segmentation,Conference paper,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85091113510
Xiu H.; Liu X.; Wang W.; Kim K.-S.; Shinohara T.; Chang Q.; Matsuoka M.,"Xiu, Haoyi (57215270239); Liu, Xin (56948501900); Wang, Weimin (57213601132); Kim, Kyoung-Sook (57184508400); Shinohara, Takayuki (57215280854); Chang, Qiong (57203124645); Matsuoka, Masashi (7401543073)",57215270239; 56948501900; 57213601132; 57184508400; 57215280854; 57203124645; 7401543073,DS-Net: A dedicated approach for collapsed building detection from post-event airborne point clouds,2023,International Journal of Applied Earth Observation and Geoinformation,116,,103150,,,,4,10.1016/j.jag.2022.103150,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143810575&doi=10.1016%2fj.jag.2022.103150&partnerID=40&md5=a570f52c56ca5fde3ec439240fee36cf,"Collapsed buildings should be detected immediately after earthquakes for humanitarian assistance and post-disaster recovery. Automatic collapsed building detection using deep learning has recently become increasingly popular because of its superior ability to obtain discriminative feature representations. Among various types of data, airborne 3D point clouds are especially useful for detecting collapsed buildings as they precisely record the height information of buildings. However, existing methods are based on the universal point cloud analysis technology that does not explicitly consider the nature of building damage. In this study, we propose Damage-Sensitive Network (DS-Net), a dedicated approach for collapsed building detection. The core of DS-Net is Laplacian Unit (LU), a simple yet effective module for 3D point clouds designed to enhance the feature representation of the damaged part to facilitate collapsed building detection. We perform extensive experiments and demonstrate that DS-Net achieves superior performance compared with existing methods. In particular, a detailed comparison of DS-Net with PointNet++, the standard network on which DS-Net's design is based, found that DS-Net provides an 8.3% gain in precision, 3.0% gain in recall, and 6.4% gain in IoU over PointNet++ in detecting collapsed buildings. Moreover, it is verified that the detection performance can be further enhanced with increased computational resources. Qualitative analyses reveal that DS-Net excels at detecting damage manifested as roof deformations, debris, and inclinations. In addition, DS-Net produces smoother predictions with sharper boundaries compared to the baseline due to the adaptive nature of LUs. Furthermore, a visual explanation analysis based on Grad-CAM is performed to analyze how DS-Net understands building damage. The result suggests that DS-Net can accurately locate varieties of building damage. © 2022 The Author(s)",3D deep learning; Airborne 3D point clouds; Building damage; Collapsed building; Discrete Laplacian; Earthquake,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85143810575
Shen Z.; Sun Y.; Lodge T.P.; Siepmann J.I.,"Shen, Zhengyuan (57209502749); Sun, Yangzesheng (57208400320); Lodge, Timothy P. (7103096958); Siepmann, J. Ilja (35458526300)",57209502749; 57208400320; 7103096958; 35458526300,Development of a PointNet for Detecting Morphologies of Self-Assembled Block Oligomers in Atomistic Simulations,2021,Journal of Physical Chemistry B,125,20,,5275,5284,9,6,10.1021/acs.jpcb.1c02389,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106392508&doi=10.1021%2facs.jpcb.1c02389&partnerID=40&md5=9932e6e865a68cd2af8941554d918043,"Molecular simulations with atomistic or coarse-grained force fields are a powerful approach for understanding and predicting the self-assembly phase behavior of complex molecules. Amphiphiles, block oligomers, and block polymers can form mesophases with different ordered morphologies describing the spatial distribution of the blocks, but entirely amorphous nature for local packing and chain conformation. Screening block oligomer chemistry and architecture through molecular simulations to find promising candidates for functional materials is aided by effective and straightforward morphology identification techniques. Capturing 3-dimensional periodic structures, such as ordered network morphologies, is hampered by the requirement that the number of molecules in the simulated system and the shape of the periodic simulation box need to be commensurate with those of the resulting network phase. Common strategies for structure identification include structure factors and order parameters, but these fail to identify imperfect structures in simulations with incorrect system sizes. Building upon pioneering work by DeFever et al. [Chem. Sci. 2019, 10, 7503-7515] who implemented a PointNet (i.e., a neural network designed for computer vision applications using point clouds) to detect local structure in simulations of single-bead particles and water molecules, we present a PointNet for detection of nonlocal ordered morphologies of complex block oligomers. Our PointNet was trained using atomic coordinates from molecular dynamics simulation trajectories and synthetic point clouds for ordered network morphologies that were absent from previous simulations. In contrast to prior work on simple molecules, we observe that large point clouds with 1000 or more points are needed for the more complex block oligomers. The trained PointNet model achieves an accuracy as high as 0.99 for globally ordered morphologies formed by linear diblock, linear triblock, and 3-arm and 4-arm star-block oligomers, and it also allows for the discovery of emerging ordered patterns from nonequilibrium systems.  © ",,Article,Final,,Scopus,2-s2.0-85106392508
Shao W.; Kakizaki K.; Araki S.; Mukai T.,"Shao, Wanpeng (57461744500); Kakizaki, Ken'Ichi (36876160100); Araki, Shunsuke (7402410948); Mukai, Tomohisa (42661692100)",57461744500; 36876160100; 7402410948; 42661692100,Damage Detection of the RC Building in TLS Point Clouds Using 3D Deep Neural Network PointNet++,2021,"Proceedings - 23rd IEEE International Symposium on Multimedia, ISM 2021",,,,39,42,3,3,10.1109/ISM52913.2021.00015,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125018419&doi=10.1109%2fISM52913.2021.00015&partnerID=40&md5=67ba3e31b6ba79c9e6e6b9493afe85df,"We are working on a research project to evaluate the safety and structure of reinforced concrete buildings damaged by earthquakes using point cloud data acquired by a terrestrial laser scanner. We propose a framework for damage analysis as a classification problem that divides a building in point clouds into small 3D voxel grids and determines which voxels are damaged, instead of detecting the damaged parts from the point cloud of the whole building. Our framework is divided into three steps: First, the damaged building in point clouds is divided into small 3d voxel grids. Second, every voxel is fed into the deep neural network for damage classification. As a deep neural network to classify the voxel grids, we used PointNet++. Finally, the original damage map is refined by a simple cluster analysis. After post-processing, the recall reaches 0.929. That is, 92.9% of damage portions are correctly detected although the damage map still contains some FPs.  © 2021 IEEE.",damage detection; earthquake; point clouds; PointNet++; reinforced concrete building; terrestrial laser scanner,Conference paper,Final,,Scopus,2-s2.0-85125018419
Koo B.; Jung R.; Yu Y.; Kim I.,"Koo, Bonsang (7101738312); Jung, Raekyu (57219890755); Yu, Youngsu (57204916978); Kim, Inhan (7404143715)",7101738312; 57219890755; 57204916978; 7404143715,A geometric deep learning approach for checking element-to-entity mappings in infrastructure building information models,2021,Journal of Computational Design and Engineering,8,1,,239,250,11,20,10.1093/jcde/qwaa075,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100823731&doi=10.1093%2fjcde%2fqwaa075&partnerID=40&md5=b3c7ac5f3d394a7761935210d74255b6,"Data interoperability between domain-specific applications is a key prerequisite for building information modeling (BIM) to solidify its position as a central medium for collaboration and information sharing in the construction industry. The Industry Foundation Classes (IFC) provides an open and neutral data format to standardize data exchanges in BIM, but is often exposed to data loss and misclassifications. Concretely, errors in mappings between BIM elements and IFC entities may occur due to manual omissions or the lack of awareness of the IFC schema itself, which is broadly defined and highly complex. This study explored the use of geometric deep learning models to classify infrastructure BIM elements, with the ultimate goal of automating the prechecking of BIM-to-IFC mappings. Two models with proven classification performance, Multi-View Convolutional Neural Network (MVCNN) and PointNet, were trained and tested to classify 10 types of commonly used BIM elements in road infrastructure, using a dataset of 1496 3D models. Results revealed MVCNN as the superior model with ACC and F1 score values of 0.98 and 0.98, compared with PointNet's corresponding values of 0.83 and 0.87, respectively. MVCNN, which employs multiple images to learn the features of a 3D artifact, was able to discern subtle differences in their shapes and geometry. PointNet seems to lose the granularity of the shapes, as it uses points partially selected from point clouds.  © 2020 The Author(s) 2020. Published by Oxford University Press on behalf of the Society for Computational Design and Engineering.",BIM; geometric deep learning; IFC; infrastructure; semantic integrity,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85100823731
Shin Y.-H.; Son K.-W.; Lee D.-C.,"Shin, Young-Ha (57219247571); Son, Kyung-Wahn (57455055800); Lee, Dong-Cheon (36138668700)",57219247571; 57455055800; 36138668700,Semantic Segmentation and Building Extraction from Airborne LiDAR Data with Multiple Return Using PointNet++,2022,Applied Sciences (Switzerland),12,4,1975,,,,7,10.3390/app12041975,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124747549&doi=10.3390%2fapp12041975&partnerID=40&md5=1d22a12ae9effd1b42eef7589a602456,"Light detection and ranging (LiDAR) data of 3D point clouds acquired from laser sensors is a crucial form of geospatial data for recognition of complex objects since LiDAR data provides geometric information in terms of 3D coordinates with additional attributes such as intensity and multiple returns. In this paper, we focused on utilizing multiple returns in the training data for semantic segmentation, in particular building extraction using PointNet++. PointNet++ is known as one of the efficient and robust deep learning (DL) models for processing 3D point clouds. On most building boundaries, two returns of the laser pulse occur. The experimental results demonstrated that the proposed approach could improve building extraction by adding two returns to the training datasets. Specifically, the recall value of the predicted building boundaries for the test data was improved from 0.7417 to 0.7948 for the best case. However, no significant improvement was achieved for the new data because the new data had relatively lower point density compared to the training and test data. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",Deep learning; LiDAR data; Multiple return; Point clouds; Semantic segmentation,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85124747549
Liu C.; Hu Y.; Li Z.; Xu J.; Han Z.; Guo J.,"Liu, Chun (55680754700); Hu, Yaohui (57223000500); Li, Zheng (57188693624); Xu, Junkui (57305991100); Han, Zhigang (56539137300); Guo, Jianzhong (56161125200)",55680754700; 57223000500; 57188693624; 57305991100; 56539137300; 56161125200,Triangleconv: A deep point convolutional network for recognizing building shapes in map space,2021,ISPRS International Journal of Geo-Information,10,10,687,,,,11,10.3390/ijgi10100687,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117728241&doi=10.3390%2fijgi10100687&partnerID=40&md5=e0c88df043b8fe77541c52a051a5e54e,"The classification and recognition of the shapes of buildings in map space play an important role in spatial cognition, cartographic generalization, and map updating. As buildings in map space are often represented as the vector data, research was conducted to learn the feature representations of the buildings and recognize their shapes based on graph neural networks. Due to the principles of graph neural networks, it is necessary to construct a graph to represent the adjacency relationships between the points (i.e., the vertices of the polygons shaping the buildings), and extract a list of geometric features for each point. This paper proposes a deep point convolutional network to recognize building shapes, which executes the convolution directly on the points of the buildings without constructing the graphs and extracting the geometric features of the points. A new convolution operator named TriangleConv was designed to learn the feature representations of each point by aggregating the features of the point and the local triangle constructed by the point and its two adjacency points. The proposed method was evaluated and compared with related methods based on a dataset consisting of 5010 vector buildings. In terms of accuracy, macro-precision, macro-recall, and macro-F1, the results show that the proposed method has comparable performance with typical graph neural networks of GCN, GAT, and GraphSAGE, and point cloud neural networks of PointNet, PointNet++, and DGCNN in the task of recognizing and classifying building shapes in map space. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Map space; Point convolution; Shape classification; Shape recognition; TriangleConv,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85117728241
Gamal A.; Husodo A.Y.; Jati G.; Alhamidi M.R.; Ma'Sum M.A.; Ardhianto R.; Jatmiko W.,"Gamal, Ahmad (57200131887); Husodo, Ario Yudo (53263950600); Jati, Grafika (55490339500); Alhamidi, Machmud R (57188981651); Ma'Sum, M. Anwar (57213817389); Ardhianto, Ronni (57200085262); Jatmiko, Wisnu (8568432600)",57200131887; 53263950600; 55490339500; 57188981651; 57213817389; 57200085262; 8568432600,Outdoor LiDAR Point Cloud Building Segmentation: Progress and Challenge,2021,"2021 International Conference on Advanced Computer Science and Information Systems, ICACSIS 2021",,,,,,,0,10.1109/ICACSIS53237.2021.9631345,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123854696&doi=10.1109%2fICACSIS53237.2021.9631345&partnerID=40&md5=4676ceefca60453776e7d2a48400b3f8,"The demand for 3D modeling using LiDAR as the primary source for observing, planning, and managing urban areas has increased. Using LiDAR data improves the accuracy of the modeling so that it can be used for policy determination and infrastructure planning. Various kinds of research on LiDAR data have been carried out, one of which is indoor and outdoor LiDAR segmentation. For outdoor cases, LiDAR data can be obtained from two points of view, namely ground view and aerial view. In this paper, we discuss the advancements and challenges of LiDAR 3D modeling in building segmentation that we have carried out. We collect LiDAR data with unmanned aerial vehicles. We use several algorithms such as PointNet and the Dynamic Graph Convolutional Neural Network variations to group structures from LiDAR data. The result is that the proposed method can segment buildings, surfaces, and vegetation well. The average accuracy produced for the Kupang and Depok datasets reaches 70%-80%. © 2021 IEEE.",3D Modeling; Building Segmentation; Dynamic Graph Convolutional Neural Network; LiDAR; PointNet,Conference paper,Final,,Scopus,2-s2.0-85123854696
